id,user_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
85, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:11", "2024-4-10 10:7:11", "12581.480469,-3039.352295", "12770.0,-2965.399902", "2.025055"
86, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:33", "2024-4-10 10:7:34", "12767.676758,-2975.118164", "12750.0,-3005.37207", "0.350396"
87, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:35", "2024-4-10 10:7:35", "12748.6875,-3005.042725", "12570.163086,-3091.851318", "1.985111"
88, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:42", "2024-4-10 10:7:42", "12586.414062,-3104.972168", "12687.238281,-3211.486328", "1.466657"
89, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:50", "2024-4-10 10:7:50", "12658.302734,-3180.920654", "12568.099609,-3219.422607", "0.980765"
90, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:51", "2024-4-10 10:7:51", "12575.876953,-3214.771484", "12432.382812,-3160.355713", "1.534651"
91, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:52", "2024-4-10 10:7:52", "12428.69043,-3160.144043", "12286.061523,-3114.681885", "1.496991"
92, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:7:55", "2024-4-10 10:7:55", "12280.141602,-3116.773193", "12423.246094,-3044.404053", "1.603624"
93, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:9:8", "2024-4-10 10:9:8", "12388.161133,-3075.029785", "12430.0,-3088.778076", "0.440399"
94, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:9:11", "2024-4-10 10:9:11", "12425.614258,-3063.288086", "12492.411133,-3145.673828", "1.06063"
95, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:9:28", "2024-4-10 10:9:28", "12377.625977,-3126.118652", "12541.181641,-3132.271484", "1.636718"
96, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:9:30", "2024-4-10 10:9:30", "12550.03418,-3138.029785", "12718.126953,-3278.919189", "2.193283"
97, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:9:31", "2024-4-10 10:9:31", "12718.176758,-3276.682861", "12901.740234,-3558.37207", "3.362209"
98, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:9:56", "2024-4-10 10:9:57", "12902.354492,-3613.959473", "12937.047852,-3763.64624", "1.536548"
99, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:10", "2024-4-10 10:10:10", "12949.629883,-3726.992188", "12977.446289,-3665.621582", "0.673805"
100, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:10", "2024-4-10 10:10:10", "12973.478516,-3667.270996", "13011.430664,-3604.284668", "0.735371"
101, "11", "S1_BasicMechanics", "virtual_reality", "2024-4-10 10:10:15", "2024-4-10 10:10:15", "13012.421875,-3606.830078", "13010.489258,-3818.961914", "2.121406"
